Rank,Player,Country,Hit,Single,Outside,Other,Pcnt,Double,Year
61,Simon Whitlock,AUS,75,87,30,0,39.06%,20,2023
62,Dragutin Horvat,GER,21,12,21,0,38.89%,20,2023
63,Geert Nentjes,NED,21,27,6,0,38.89%,20,2023
64,Jeff Smith,CAN,36,27,27,3,38.71%,20,2023
65,Ross Montgomery,SCO,36,24,27,6,38.71%,20,2023
66,Peter Wright,SCO,444,312,378,15,38.64%,20,2023
67,Joe Murnan,ENG,15,6,18,0,38.46%,20,2023
68,Martijn Dragt,NED,15,6,12,6,38.46%,20,2023
69,Jeffrey Sparidaans,NED,15,9,15,0,38.46%,20,2023
70,Mickey Mansell,NIR,114,84,96,3,38.38%,20,2023
71,Martin Schindler,GER,150,129,111,3,38.17%,20,2023
72,Rsoer Roes,POR,56,59,30,2,38.1%,20,2023
73,José de Sousa,POR,112,118,60,4,38.1%,20,2023
74,Rob Cross,ENG,225,264,99,3,38.07%,20,2023
75,Stephen Bunting,ENG,225,171,183,12,38.07%,20,2023
76,Wesley Plaisier,NED,33,21,27,6,37.93%,20,2023
77,James Richardson,ENG,9,3,9,3,37.5%,20,2023
78,Krzysztof Kciuk,POL,18,12,9,9,37.5%,20,2023
79,Scott Waites,ENG,18,18,12,0,37.5%,20,2023
80,Chris Dobey,ENG,231,186,186,15,37.38%,20,2023
81,Michael van Gerwen,NED,495,495,336,6,37.16%,20,2023
82,Nathan Aspinall,ENG,333,204,354,6,37.12%,20,2023
83,Florian Hempel,GER,51,45,42,0,36.96%,20,2023
84,Cameron Crabtree,,21,21,15,0,36.84%,20,2023
85,Gabriel Clemens,GER,150,132,123,3,36.76%,20,2023
86,Tony Martinez,ESP,33,33,21,3,36.67%,20,2023
87,Bradley Brooks,ENG,45,36,39,3,36.59%,20,2023
88,Richard Veenstra,NED,105,84,96,3,36.46%,20,2023
89,Darryl Pilgrim,ENG,12,12,9,0,36.36%,20,2023
90,Josh Payne,ENG,36,42,18,3,36.36%,20,2023
91,Matt Campbell,CAN,147,108,144,6,36.3%,20,2023
92,Niels Zonneveld,NED,138,108,129,6,36.22%,20,2023
93,Jamie Hughes,ENG,63,45,60,6,36.21%,20,2023
94,Keegan Brown,ENG,51,48,36,6,36.17%,20,2023
95,Christian Kist,NED,51,54,30,6,36.17%,20,2023
96,Lee Evans,ENG,27,21,24,3,36%,20,2023
97,Jarred Cole,ENG,27,15,33,0,36%,20,2023
98,Dennis Nilsson,SWE,15,12,15,0,35.71%,20,2023
99,Alex Spellman,USA,15,15,12,0,35.71%,20,2023
100,Marko Kantele,FIN,33,21,36,3,35.48%,20,2023
101,Adam Warner,ENG,18,21,12,0,35.29%,20,2023
102,Berry van Peer,NED,39,39,33,0,35.14%,20,2023
103,Jim Williams,WAL,78,69,75,0,35.14%,20,2023
104,Ross Smith,ENG,99,120,63,3,34.74%,20,2023
105,Brendan Dolan,NIR,84,81,75,3,34.57%,20,2023
106,Jelle Klaasen,NED,30,39,15,3,34.48%,20,2023
107,Danny van Trijp,NED,30,24,33,0,34.48%,20,2023
108,Cameron Menzies,SCO,81,69,87,0,34.18%,20,2023
109,Scott Williams,ENG,57,51,60,0,33.93%,20,2023
110,Jeffrey de Zwaan,NED,69,54,78,3,33.82%,20,2023
111,Dylan Slevin,IRL,87,60,111,0,33.72%,20,2023
112,Raymond van Barneveld,NED,156,156,141,12,33.55%,20,2023
113,Brian Raman,BEL,18,12,24,0,33.33%,20,2023
114,Jeffrey de Graaf,SWE,12,15,9,0,33.33%,20,2023
115,Rusty-Jake Rodriguez,AUT,27,30,24,0,33.33%,20,2023
116,Ryan Joyce,ENG,48,39,57,0,33.33%,20,2023
117,Jamie Clark,SCO,18,21,15,0,33.33%,20,2023
118,Ryan Meilke,,12,12,12,0,33.33%,20,2023
119,Kim Huybrechts,BEL,63,78,51,0,32.81%,20,2023
120,Madars Razma,LTV,60,57,66,0,32.79%,20,2023
121,Ryan Meikle,ENG,57,60,57,3,32.2%,20,2023
122,Damon Heta,AUS,279,321,249,18,32.18%,20,2023
123,James Wilson,ENG,24,30,21,0,32%,20,2023
124,Rowby-John Rodriguez,AUT,24,24,24,3,32%,20,2023
125,Damian Mol,NED,21,24,18,3,31.82%,20,2023
126,Ritchie Edhouse,ENG,36,39,39,0,31.58%,20,2023
127,Owen Bates,ENG,18,15,21,3,31.58%,20,2023
128,Jules Van Dongen,USA,84,99,84,0,31.46%,20,2023
129,Gian van Veen,NED,81,90,84,3,31.4%,20,2023
130,Dimitri Van den Bergh,BEL,165,147,201,15,31.25%,20,2023
131,Danny Jansen,NED,12,9,15,3,30.77%,20,2023
132,John O Shea,IRL,12,15,6,6,30.77%,20,2023
133,Mario Vandenbogaerde,BEL,69,81,75,0,30.67%,20,2023
134,Graham Hall,ENG,21,30,18,0,30.43%,20,2023
135,Oskar Lukasiak,SWE,9,9,12,0,30%,20,2023
136,Adam Gawlas,CZE,27,21,39,3,30%,20,2023
137,Hannes Schnier,AUT,9,15,6,0,30%,20,2023
138,Thibault Tricole,FRA,33,33,39,6,29.73%,20,2023
139,Radoslaw Szaganski,POL,24,45,12,0,29.63%,20,2023
140,Leung Man Lok,,15,15,21,0,29.41%,20,2023
141,Chris Landman,NED,15,18,18,0,29.41%,20,2023
142,Nico Kurz,GER,15,18,12,6,29.41%,20,2023
143,George Killington,ENG,30,42,27,3,29.41%,20,2023
144,Luke Woodhouse,ENG,81,81,114,0,29.35%,20,2023
145,Mensur Suljović,AUT,33,45,33,3,28.95%,20,2023
146,José Justicia,ESP,6,12,3,0,28.57%,20,2023
147,Mervyn King,ENG,6,12,3,0,28.57%,20,2023
148,Kevin Burness,NIR,12,9,21,0,28.57%,20,2023
149,Jason Brandon,USA,6,12,3,0,28.57%,20,2023
150,Graham Usher,ENG,24,18,42,0,28.57%,20,2023
151,Krzysztof Ratajski,POL,105,123,135,6,28.46%,20,2023
152,Adam Smith-Neale,ENG,27,27,39,3,28.13%,20,2023
153,Maik Kuivenhoven,NED,48,63,54,6,28.07%,20,2023
154,Jurjen van der Velde,NED,33,51,36,0,27.5%,20,2023
155,Dave Cameron,CAN,9,9,15,0,27.27%,20,2023
156,Martin Lukeman,ENG,27,33,39,0,27.27%,20,2023
157,Reynaldo Rivera,PHI,9,9,15,0,27.27%,20,2023
158,Jermaine Wattimena,NED,45,72,48,3,26.79%,20,2023
159,Beau Greaves,ENG,12,18,15,0,26.67%,20,2023
160,Paolo Nebrida,PHI,6,9,9,0,25%,20,2023
161,Stowe Buntz,USA,24,36,33,3,25%,20,2023
162,Mikuru Suzuki,JPN,6,3,15,0,25%,20,2023
163,Alan Soutar,SCO,24,48,30,0,23.53%,20,2023
164,Owen Roelofs,NED,24,39,36,3,23.53%,20,2023
165,Haupai Puha,NZL,9,9,21,0,23.08%,20,2023
166,Martijn Kleermaker,NED,36,72,48,0,23.08%,20,2023
167,Lisa Ashton,ENG,6,9,12,0,22.22%,20,2023
168,Devon Petersen,RSA,12,18,21,3,22.22%,20,2023
169,Nick Fullwell,ENG,9,15,18,0,21.43%,20,2023
170,Andy Boulton,SCO,12,27,18,0,21.05%,20,2023
171,Scott Mitchell,ENG,6,9,12,3,20%,20,2023
172,Nandor Major,HUN,9,15,21,0,20%,20,2023
173,Steve Lennon,IRL,24,57,51,0,18.18%,20,2023
174,Pascal Rupprecht,GER,9,27,18,0,16.67%,20,2023
175,Patrick Kovacs,HUN,9,30,21,0,15%,20,2023
176,Luc Peters,NED,3,12,6,0,14.29%,20,2023
177,Vladimir Andersen,DEN,3,9,12,0,12.5%,20,2023
178,Nathan Girvan,SCO,3,9,12,0,12.5%,20,2023
179,Haruki Muramatsu,JPN,3,6,18,0,11.11%,20,2023
180,Jacques Labre,FRA,3,6,18,0,11.11%,20,2023
181,Sebastian Bialecki,POL,0,21,9,0,0%,20,2023
1,Josh Rock,NIR,18,0,3,0,85.71%,1,2024
2,Gabriel Clemens,GER,15,3,3,0,71.43%,1,2024
3,James Wade,ENG,12,0,9,0,57.14%,1,2024
4,Wessel Nijman,NED,15,6,6,0,55.56%,1,2024
5,Peter Wright,SCO,18,0,15,0,54.55%,1,2024
6,Luke Humphries,ENG,33,9,21,0,52.38%,1,2024
7,Ryan Searle,ENG,15,9,6,0,50%,1,2024
8,Luke Woodhouse,ENG,12,3,9,0,50%,1,2024
9,Michael van Gerwen,NED,42,12,27,3,50%,1,2024
10,Luke Littler,ENG,18,12,9,0,46.15%,1,2024
11,Jermaine Wattimena,NED,15,3,12,3,45.45%,1,2024
12,Dave Chisnall,ENG,18,6,15,3,42.86%,1,2024
13,Dimitri Van den Bergh,BEL,12,0,18,0,40%,1,2024
14,Rob Cross,ENG,18,21,6,0,40%,1,2024
15,Martin Lukeman,ENG,12,9,9,0,40%,1,2024
16,Martin Schindler,GER,12,3,18,0,36.36%,1,2024
17,Michael Smith,ENG,24,24,18,0,36.36%,1,2024
18,Gary Anderson,SCO,12,0,18,3,36.36%,1,2024
19,Damon Heta,AUS,9,6,9,3,33.33%,1,2024
20,Nathan Aspinall,ENG,15,12,21,0,31.25%,1,2024
21,Danny Noppert,NED,9,9,12,0,30%,1,2024
22,Brendan Dolan,NIR,9,3,18,0,30%,1,2024
23,Krzysztof Ratajski,POL,6,9,6,0,28.57%,1,2024
24,Kevin Doets,NED,18,18,33,0,26.09%,1,2024
25,Andrew Gilding,ENG,12,21,15,0,25%,1,2024
26,Ritchie Edhouse,ENG,6,6,12,0,25%,1,2024
27,Gerwyn Price,WAL,12,15,24,0,23.53%,1,2024
28,Jonny Clayton,WAL,9,15,24,0,18.75%,1,2024
29,Jeffrey de Zwaan,NED,0,9,18,0,0%,1,2024
1,Wesley Plaisier,NED,15,6,0,0,71.43%,2,2024
2,Josh Rock,NIR,36,18,6,0,60%,2,2024
3,Andrew Gilding,ENG,36,12,18,0,54.55%,2,2024
4,Stephen Bunting,ENG,27,9,15,0,52.94%,2,2024
5,Danny Noppert,NED,33,12,21,0,50%,2,2024
6,Ross Smith,ENG,21,3,15,3,50%,2,2024
7,Cameron Menzies,SCO,33,15,18,0,50%,2,2024
8,Raymond van Barneveld,NED,30,3,30,0,47.62%,2,2024
9,Mike De Decker,BEL,27,12,18,0,47.37%,2,2024
10,William O'Connor,IRL,15,9,9,0,45.45%,2,2024
11,Kevin Doets,NED,21,15,12,0,43.75%,2,2024
12,Martin Lukeman,ENG,18,21,3,0,42.86%,2,2024
13,Krzysztof Ratajski,POL,18,18,6,0,42.86%,2,2024
14,Michael Smith,ENG,60,45,36,0,42.55%,2,2024
15,James Wade,ENG,21,12,18,0,41.18%,2,2024
16,Chris Dobey,ENG,42,9,48,3,41.18%,2,2024
17,Luke Littler,ENG,54,18,60,0,40.91%,2,2024
18,Gabriel Clemens,GER,24,12,24,0,40%,2,2024
19,Jonny Clayton,WAL,18,15,12,0,40%,2,2024
20,Gerwyn Price,WAL,24,18,18,0,40%,2,2024
21,Dirk van Duijvenbode,NED,12,9,9,0,40%,2,2024
22,Gian van Veen,NED,21,12,21,0,38.89%,2,2024
23,Kim Huybrechts,BEL,15,0,21,3,38.46%,2,2024
24,Ricky Evans,ENG,9,0,15,0,37.5%,2,2024
25,Ryan Searle,ENG,21,27,9,0,36.84%,2,2024
26,Peter Wright,SCO,36,27,39,0,35.29%,2,2024
27,Rob Cross,ENG,45,30,51,3,34.88%,2,2024
28,Jermaine Wattimena,NED,30,24,33,0,34.48%,2,2024
29,Gary Anderson,SCO,33,15,48,0,34.38%,2,2024
30,Luke Humphries,ENG,78,48,102,0,34.21%,2,2024
31,Scott Williams,ENG,12,0,24,0,33.33%,2,2024
32,Dave Chisnall,ENG,21,27,15,3,31.82%,2,2024
33,Damon Heta,AUS,18,12,27,0,31.58%,2,2024
34,Martin Schindler,GER,21,15,33,0,30.43%,2,2024
35,Ricardo Pietreczko,GER,12,12,18,0,28.57%,2,2024
36,Lee Evans,ENG,6,0,15,0,28.57%,2,2024
37,Michael van Gerwen,NED,27,36,30,3,28.13%,2,2024
38,Wessel Nijman,NED,9,18,6,0,27.27%,2,2024
39,Dimitri Van den Bergh,BEL,9,15,9,0,27.27%,2,2024
40,Daryl Gurney,NIR,12,12,21,0,26.67%,2,2024
41,Ritchie Edhouse,ENG,15,18,24,0,26.32%,2,2024
42,Nathan Aspinall,ENG,24,18,45,6,25.81%,2,2024
43,Ian White,ENG,6,9,9,0,25%,2,2024
44,Joe Cullen,ENG,6,6,12,0,25%,2,2024
45,Simon Whitlock,AUS,6,6,12,0,25%,2,2024
46,Keane Barry,IRL,6,6,15,0,22.22%,2,2024
47,Luke Woodhouse,ENG,9,21,27,0,15.79%,2,2024
48,Steve Lennon,IRL,3,6,18,0,11.11%,2,2024
49,Steve Beaton,ENG,3,9,15,0,11.11%,2,2024
50,Haupai Puha,NZL,3,15,18,0,8.33%,2,2024
51,Richard Veenstra,NED,0,18,6,0,0%,2,2024
1,Rob Cross,ENG,21,3,24,0,43.75%,3,2024
2,Peter Wright,SCO,9,6,6,0,42.86%,3,2024
3,Mike De Decker,BEL,9,6,6,0,42.86%,3,2024
4,Graham Hall,ENG,9,0,12,0,42.86%,3,2024
5,Luke Littler,ENG,33,3,42,0,42.31%,3,2024
6,Gary Anderson,SCO,24,0,27,6,42.11%,3,2024
7,Gerwyn Price,WAL,12,9,9,0,40%,3,2024
8,Michael van Gerwen,NED,18,9,21,0,37.5%,3,2024
9,Nathan Aspinall,ENG,9,6,9,0,37.5%,3,2024
10,Ryan Searle,ENG,9,6,12,0,33.33%,3,2024
11,Luke Humphries,ENG,30,12,48,0,33.33%,3,2024
12,Ryan Joyce,ENG,6,6,9,0,28.57%,3,2024
13,Ritchie Edhouse,ENG,6,0,18,0,25%,3,2024
14,Ross Smith,ENG,6,6,12,3,22.22%,3,2024
15,Michael Smith,ENG,18,27,36,0,22.22%,3,2024
16,Kevin Doets,NED,6,9,12,0,22.22%,3,2024
17,Andrew Gilding,ENG,12,18,27,0,21.05%,3,2024
18,Danny Noppert,NED,9,12,18,6,20%,3,2024
19,Christian Kist,NED,3,6,12,0,14.29%,3,2024
20,Cameron Menzies,SCO,3,6,12,0,14.29%,3,2024
21,Damon Heta,AUS,0,3,15,3,0%,3,2024
22,Jonny Clayton,WAL,0,12,18,0,0%,3,2024
1,Thibault Tricole,FRA,36,9,3,0,75%,4,2024
2,Boris Krčmar,CRO,15,6,0,0,71.43%,4,2024
3,Mensur Suljović,AUT,24,6,6,0,66.67%,4,2024
4,Nick Kenny,WAL,18,9,0,0,66.67%,4,2024
5,Callan Rydz,ENG,33,9,9,3,61.11%,4,2024
6,Joe Cullen,ENG,36,15,9,0,60%,4,2024
7,Dylan Slevin,IRL,12,0,9,0,57.14%,4,2024
8,Ross Smith,ENG,66,15,33,3,56.41%,4,2024
9,Keane Barry,IRL,15,3,9,0,55.56%,4,2024
10,Luke Woodhouse,ENG,69,33,24,0,54.76%,4,2024
11,Connor Scutt,ENG,36,9,21,0,54.55%,4,2024
12,Alan Soutar,SCO,21,3,15,0,53.85%,4,2024
13,Daryl Gurney,NIR,69,24,30,6,53.49%,4,2024
14,Florian Hempel,GER,24,12,6,3,53.33%,4,2024
15,Ricardo Pietreczko,GER,57,12,39,0,52.78%,4,2024
16,Kevin Doets,NED,42,21,18,0,51.85%,4,2024
17,Gerwyn Price,WAL,45,9,36,0,50%,4,2024
18,Robert Owen,WAL,21,0,21,0,50%,4,2024
19,Michael van Gerwen,NED,120,54,63,3,50%,4,2024
20,Danny Noppert,NED,45,30,18,0,48.39%,4,2024
21,Damon Heta,AUS,69,15,60,0,47.92%,4,2024
22,Jeffrey de Graaf,SWE,24,15,3,9,47.06%,4,2024
23,Dirk van Duijvenbode,NED,45,27,21,3,46.88%,4,2024
24,Ricky Evans,ENG,21,9,15,0,46.67%,4,2024
25,Peter Wright,SCO,81,60,33,0,46.55%,4,2024
26,Ryan Joyce,ENG,18,6,15,0,46.15%,4,2024
27,Madars Razma,LTV,36,21,21,0,46.15%,4,2024
28,Raymond van Barneveld,NED,45,24,30,0,45.45%,4,2024
29,Dave Chisnall,ENG,45,27,21,6,45.45%,4,2024
30,Rob Cross,ENG,150,96,87,0,45.05%,4,2024
31,Martin Schindler,GER,27,27,6,0,45%,4,2024
32,Stephen Bunting,ENG,90,27,78,9,44.12%,4,2024
33,Cameron Menzies,SCO,78,39,57,3,44.07%,4,2024
34,Luke Littler,ENG,33,27,15,0,44%,4,2024
35,Graham Hall,ENG,9,12,0,0,42.86%,4,2024
36,Daniel Lauby Jr.,USA,9,3,9,0,42.86%,4,2024
37,Ritchie Edhouse,ENG,45,33,27,0,42.86%,4,2024
38,James Wade,ENG,45,18,45,0,41.67%,4,2024
39,Wessel Nijman,NED,45,36,24,3,41.67%,4,2024
40,Dimitri Van den Bergh,BEL,78,36,75,0,41.27%,4,2024
41,Luke Humphries,ENG,129,120,66,0,40.95%,4,2024
42,Leonard Gates,USA,12,9,9,0,40%,4,2024
43,Simon Whitlock,AUS,18,9,18,0,40%,4,2024
44,Gabriel Clemens,GER,24,27,9,0,40%,4,2024
45,Gian van Veen,NED,51,39,36,3,39.53%,4,2024
46,Chris Dobey,ENG,69,69,36,3,38.98%,4,2024
47,Michael Smith,ENG,81,81,48,0,38.57%,4,2024
48,Jeffrey de Zwaan,NED,9,9,6,0,37.5%,4,2024
49,Nathan Aspinall,ENG,81,45,93,3,36.49%,4,2024
50,Jonny Clayton,WAL,57,39,63,0,35.85%,4,2024
51,Gary Anderson,SCO,60,48,60,0,35.71%,4,2024
52,Steve Beaton,ENG,18,15,18,0,35.29%,4,2024
53,Scott Williams,ENG,24,30,15,0,34.78%,4,2024
54,Martin Lukeman,ENG,27,36,15,0,34.62%,4,2024
55,Ian White,ENG,15,18,12,0,33.33%,4,2024
56,Kim Huybrechts,BEL,12,12,12,0,33.33%,4,2024
57,Karel Sedláček,CZE,15,15,12,3,33.33%,4,2024
58,Jermaine Wattimena,NED,48,60,33,3,33.33%,4,2024
59,Josh Rock,NIR,57,42,84,0,31.15%,4,2024
60,Krzysztof Ratajski,POL,24,30,27,0,29.63%,4,2024
61,Adam Gawlas,CZE,6,12,3,0,28.57%,4,2024
62,Jim Williams,WAL,6,12,3,0,28.57%,4,2024
63,Darius Labanauskas,LTH,6,0,15,0,28.57%,4,2024
64,Mike De Decker,BEL,48,42,78,3,28.07%,4,2024
65,William O'Connor,IRL,9,18,6,0,27.27%,4,2024
66,Andrew Gilding,ENG,12,27,6,0,26.67%,4,2024
67,Ryan Searle,ENG,54,51,111,0,25%,4,2024
68,Matt Campbell,CAN,12,6,33,0,23.53%,4,2024
69,Richard Veenstra,NED,6,15,6,0,22.22%,4,2024
70,Wesley Plaisier,NED,6,18,6,0,20%,4,2024
71,Christian Perez,PHI,6,3,18,3,20%,4,2024
72,Haupai Puha,NZL,3,6,15,0,12.5%,4,2024
73,Niels Zonneveld,NED,3,6,15,0,12.5%,4,2024
74,Ryusei Azemoto,JPN,0,3,18,0,0%,4,2024
1,Dylan Slevin,IRL,18,3,3,0,75%,5,2024
2,Callan Rydz,ENG,39,9,9,0,68.42%,5,2024
3,Niels Zonneveld,NED,21,0,12,0,63.64%,5,2024
4,Gian van Veen,NED,21,0,9,6,58.33%,5,2024
5,Chris Dobey,ENG,57,12,30,0,57.58%,5,2024
6,Alan Soutar,SCO,12,6,3,0,57.14%,5,2024
7,Mensur Suljović,AUT,12,6,3,0,57.14%,5,2024
8,Ian White,ENG,18,9,6,0,54.55%,5,2024
9,Raymond van Barneveld,NED,30,12,15,0,52.63%,5,2024
10,Brendan Dolan,NIR,24,9,15,0,50%,5,2024
11,Luke Littler,ENG,222,78,144,3,49.66%,5,2024
12,Michael Smith,ENG,108,63,54,0,48%,5,2024
13,Jonny Clayton,WAL,27,15,15,0,47.37%,5,2024
14,Richard Veenstra,NED,24,12,12,3,47.06%,5,2024
15,Luke Humphries,ENG,111,69,51,6,46.84%,5,2024
16,Luke Woodhouse,ENG,18,9,9,3,46.15%,5,2024
17,Krzysztof Ratajski,POL,36,3,36,3,46.15%,5,2024
18,Jermaine Wattimena,NED,27,9,24,0,45%,5,2024
19,Jelle Klaasen,NED,9,3,9,0,42.86%,5,2024
20,Dirk van Duijvenbode,NED,33,15,30,0,42.31%,5,2024
21,Karel Sedláček,CZE,15,0,18,3,41.67%,5,2024
22,Stephen Bunting,ENG,30,24,15,3,41.67%,5,2024
23,Rob Cross,ENG,27,24,15,0,40.91%,5,2024
24,Dave Chisnall,ENG,69,33,60,9,40.35%,5,2024
25,Florian Hempel,GER,18,12,15,0,40%,5,2024
26,Mickey Mansell,NIR,21,21,12,0,38.89%,5,2024
27,Josh Rock,NIR,39,15,48,0,38.24%,5,2024
28,Ross Smith,ENG,36,33,27,0,37.5%,5,2024
29,James Hurrell,ENG,18,6,24,0,37.5%,5,2024
30,Martin Lukeman,ENG,21,12,24,0,36.84%,5,2024
31,Ryan Searle,ENG,48,24,60,0,36.36%,5,2024
32,Martin Schindler,GER,42,33,42,0,35.9%,5,2024
33,Damon Heta,AUS,15,18,9,0,35.71%,5,2024
34,James Wade,ENG,45,24,57,0,35.71%,5,2024
35,Nathan Aspinall,ENG,54,27,69,3,35.29%,5,2024
36,Danny Noppert,NED,36,39,27,3,34.29%,5,2024
37,Gary Anderson,SCO,45,39,48,0,34.09%,5,2024
38,Matt Campbell,CAN,9,9,9,0,33.33%,5,2024
39,Cameron Menzies,SCO,18,18,18,0,33.33%,5,2024
40,Daryl Gurney,NIR,9,3,15,0,33.33%,5,2024
41,Michael van Gerwen,NED,51,60,48,0,32.08%,5,2024
42,Gerwyn Price,WAL,75,45,111,3,32.05%,5,2024
43,Gabriel Clemens,GER,21,27,15,3,31.82%,5,2024
44,José de Sousa,POR,12,6,20,0,31.58%,5,2024
45,Mike De Decker,BEL,18,18,21,0,31.58%,5,2024
46,Ritchie Edhouse,ENG,24,15,27,12,30.77%,5,2024
47,Peter Wright,SCO,42,39,57,0,30.43%,5,2024
48,Wessel Nijman,NED,9,12,9,0,30%,5,2024
49,Stowe Buntz,USA,9,6,15,0,30%,5,2024
50,Arron Monk,ENG,9,9,12,0,30%,5,2024
51,Graham Hall,ENG,9,6,15,0,30%,5,2024
52,Madars Razma,LTV,9,9,12,0,30%,5,2024
53,Jim Williams,WAL,6,6,9,0,28.57%,5,2024
54,Rowby-John Rodriguez,AUT,6,6,6,3,28.57%,5,2024
55,Thibault Tricole,FRA,9,6,21,0,25%,5,2024
56,Jeffrey de Graaf,SWE,9,3,27,0,23.08%,5,2024
57,Robert Owen,WAL,6,9,12,0,22.22%,5,2024
58,Andrew Gilding,ENG,24,24,48,12,22.22%,5,2024
59,Ricardo Pietreczko,GER,9,18,18,0,20%,5,2024
60,Dimitri Van den Bergh,BEL,9,12,24,0,20%,5,2024
61,Stephen Burton,ENG,6,9,18,0,18.18%,5,2024
62,Ricky Evans,ENG,6,21,15,0,14.29%,5,2024
63,Connor Scutt,ENG,9,18,36,3,13.64%,5,2024
64,Lukas Wenig,GER,3,3,21,0,11.11%,5,2024
65,Joe Cullen,ENG,3,12,12,0,11.11%,5,2024
66,Simon Whitlock,AUS,3,12,12,0,11.11%,5,2024
67,Ryan Meikle,ENG,3,6,12,6,11.11%,5,2024
68,Fallon Sherrock,ENG,3,9,18,0,10%,5,2024
69,Kevin Doets,NED,6,27,27,0,10%,5,2024
70,Marko Kantele,FIN,0,6,18,0,0%,5,2024
71,William O'Connor,IRL,0,6,15,0,0%,5,2024
72,Wesley Plaisier,NED,0,12,18,0,0%,5,2024
1,Krzysztof Ratajski,POL,15,0,6,0,71.43%,6,2024
2,Ricky Evans,ENG,15,3,3,0,71.43%,6,2024
3,Chris Dobey,ENG,21,6,0,3,70%,6,2024
4,Madars Razma,LTV,15,0,9,0,62.5%,6,2024
5,Raymond van Barneveld,NED,54,6,27,0,62.07%,6,2024
6,James Hurrell,ENG,12,3,6,0,57.14%,6,2024
7,Damon Heta,AUS,45,12,27,0,53.57%,6,2024
8,Martin Schindler,GER,21,15,3,3,50%,6,2024
9,Ross Smith,ENG,30,15,15,0,50%,6,2024
10,Daryl Gurney,NIR,27,15,12,0,50%,6,2024
11,Scott Williams,ENG,15,6,6,6,45.45%,6,2024
12,Ritchie Edhouse,ENG,15,9,9,0,45.45%,6,2024
13,Luke Humphries,ENG,81,48,51,0,45%,6,2024
14,Stephen Bunting,ENG,39,15,33,0,44.83%,6,2024
15,Jermaine Wattimena,NED,24,9,21,0,44.44%,6,2024
16,Peter Wright,SCO,36,24,18,3,44.44%,6,2024
17,Joe Cullen,ENG,30,3,36,0,43.48%,6,2024
18,Danny Noppert,NED,48,36,24,3,43.24%,6,2024
19,Robert Owen,WAL,9,0,12,0,42.86%,6,2024
20,Callan Rydz,ENG,9,6,6,0,42.86%,6,2024
21,Keane Barry,IRL,9,3,9,0,42.86%,6,2024
22,Wessel Nijman,NED,27,9,21,6,42.86%,6,2024
23,Gabriel Clemens,GER,24,15,15,3,42.11%,6,2024
24,Nathan Aspinall,ENG,21,18,9,3,41.18%,6,2024
25,Ryan Searle,ENG,33,21,27,0,40.74%,6,2024
26,Rhys Griffin,WAL,12,6,9,3,40%,6,2024
27,Dave Chisnall,ENG,18,15,9,3,40%,6,2024
28,James Wade,ENG,27,15,27,0,39.13%,6,2024
29,Ricardo Pietreczko,GER,27,3,39,0,39.13%,6,2024
30,Michael van Gerwen,NED,69,36,69,6,38.33%,6,2024
31,Connor Scutt,ENG,9,6,9,0,37.5%,6,2024
32,Mickey Mansell,NIR,9,3,9,3,37.5%,6,2024
33,Alan Soutar,SCO,9,6,9,0,37.5%,6,2024
34,Gerwyn Price,WAL,54,42,51,0,36.73%,6,2024
35,Michael Smith,ENG,66,45,72,3,35.48%,6,2024
36,Rob Cross,ENG,54,30,72,0,34.62%,6,2024
37,Luke Woodhouse,ENG,9,9,9,0,33.33%,6,2024
38,Jeffrey de Graaf,SWE,9,6,12,0,33.33%,6,2024
39,Jonny Clayton,WAL,36,24,48,0,33.33%,6,2024
40,Dirk van Duijvenbode,NED,27,6,51,0,32.14%,6,2024
41,Gary Anderson,SCO,39,33,51,0,31.71%,6,2024
42,Gian van Veen,NED,27,12,39,9,31.03%,6,2024
43,Andrew Gilding,ENG,21,42,6,0,30.43%,6,2024
44,Brendan Dolan,NIR,9,9,12,0,30%,6,2024
45,Florian Hempel,GER,9,9,12,0,30%,6,2024
46,Maik Kuivenhoven,NED,9,3,18,0,30%,6,2024
47,Luke Littler,ENG,48,51,60,3,29.63%,6,2024
48,Dimitri Van den Bergh,BEL,27,12,54,0,29.03%,6,2024
49,Haupai Puha,NZL,6,6,9,0,28.57%,6,2024
50,Niels Zonneveld,NED,6,9,6,0,28.57%,6,2024
51,Richard Veenstra,NED,6,6,9,0,28.57%,6,2024
52,Mike De Decker,BEL,12,18,12,0,28.57%,6,2024
53,Chris Landman,NED,6,0,15,0,28.57%,6,2024
54,Martin Lukeman,ENG,6,9,9,0,25%,6,2024
55,Kevin Doets,NED,12,12,24,0,25%,6,2024
56,Cameron Menzies,SCO,6,15,3,0,25%,6,2024
57,Josh Rock,NIR,12,12,27,0,23.53%,6,2024
58,Ryan Meikle,ENG,6,6,18,0,20%,6,2024
59,Karel Sedláček,CZE,6,9,18,3,16.67%,6,2024
60,Simon Whitlock,AUS,3,6,12,0,14.29%,6,2024
61,Roger Hertig,SUI,6,6,30,0,14.29%,6,2024
62,Ryan Joyce,ENG,3,9,18,0,10%,6,2024
1,Gabriel Clemens,GER,12,0,9,0,57.14%,7,2024
2,Peter Wright,SCO,18,6,9,0,54.55%,7,2024
3,Luke Littler,ENG,42,15,27,0,50%,7,2024
4,Nathan Aspinall,ENG,15,3,12,0,50%,7,2024
